ID_Produto,Nome_Produto,Categoria,Preco_Unitario,Quantidade_Vendida,Data_Venda,ID_Cliente,Cidade_Cliente
101,Laptop Modelo X,Eletronicos,3500.00,2,2023-10-15,C001,Sao Paulo
102,Smartphone Y,Eletronicos,1200.50,5,2023-10-15,C002,Rio de Janeiro
201,Livro de Ficcao,Livros,45.90,10,2023-10-16,C003,Belo Horizonte
101,Laptop Modelo X,Eletronicos,3500.00,1,2023-10-17,C004,Sao Paulo
301,Cafe Especial,Alimentos,25.00,20,2023-10-17,C001,Sao Paulo
202,Livro Tecnico,Livros,120.00,3,2023-10-18,C005,Curitiba
102,Smartphone Y,Eletronicos,1150.00,3,2023-10-18,C002,Rio de Janeiro
401,Camiseta Estampada,Vestuario,79.90,7,2023-10-19,C006,Recife
201,Livro de Ficcao,Livros,42.50,5,2023-10-19,C003,Belo Horizonte
302,Cha Importado,Alimentos,,12,2023-10-20,C007,Porto Alegre
103,Tablet Z,Eletronicos,899.90,2,2023-10-20,C001,Sao Paulo
103,Tablet Z,Eletronicos,899.90,2,2023-10-20,C001,Sao Paulo
501,Fone de Ouvido BT,Acessorios,299.00,0,2023-10-21,C008,Salvador
601,Vinho Tinto Seco,Bebidas,65.75,8,2023-10-22,C009,Brasilia
203,HQ Edicao de Colecionador,Livros,199.50,-1,2023-10-23,C010,Manaus
701,Monitor Gamer 27,Eletronicos,1850.00,3,2023-10-24,C002,Rio de Janeiro
301,Cafe Especial,Alimentos,26.50,15,2023-10-25,C004,Sao Paulo
402,Calca Jeans,Vestuario,150.00,4,2023-10-26,C005,Curitiba
101,  Laptop Modelo X  ,eletronicos,3450.00,1,2023-10-27,C011,Goiania
801,Teclado Mecanico,Acessorios,450.00,NULL,2023-10-28,C012,Fortaleza
